,LEAD_REFERENCE_NUMBER,CAMPAIGN_CODE,CIF,MARKETING_MESSAGE_LINE1,MARKETING_MESSAGE_LINE2,MARKETING_MESSAGE_LINE3,MARKETING_MESSAGE_LINE4,MARKETING_MESSAGE_LINE5,MARKETING_MESSAGE_LINE6,BRANCH_CODE,PERSONALIZED_MESSAGE,PRODUCT_OFFER,PROVINCE_CODE,REGION,CAMPAIGN_TYPE,LEAD_STATUS_CODE,OWNER_EMPLOYEE_ID,REFER_NAME,RESPONSE_DATE_TIME,RESPONSE_CODE
5031,LMAY004136065,,13986881,,,,,,,620,,AYFDRMF,,60501,,1,264416,,2018-05-11T10:56:42Z,
5069,LMMT004132236,,11160368,,,,,,,474,,MTFOTFD,,50303,,1,315713,,2018-05-08T19:38:36Z,
5124,LMMT004131223,,710596,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-05-08T13:57:10Z,
5345,LMAY004172456,,5077399,,,,,,,615,,AYFDLMF,,50303,,1,185553,,2018-06-07T15:02:21Z,
5372,LMAY004173500,,1060584,,,,,,,14,,AYF7LMF,,50303,,1,131722,,2018-06-08T10:48:03Z,
5540,LMMT004175531,,9073001,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-06-10T17:51:19Z,
5572,LMAY004173054,,12262896,,,,,,,615,,AYFCASH,,50303,,1,393124,,2018-06-07T18:05:57Z,
5654,LMMT004175523,,3567178,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-06-10T17:40:45Z,
5691,LMMT004175511,,12045779,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-06-10T17:28:22Z,
5707,LMAY004175311,,3680060,,,,,,,615,,AYFDLMF,,50303,,1,164756,,2018-06-10T11:29:52Z,
5741,LMAY004179691,,6140409,,,,,,,34,,AYFDLMF,,50303,,1,166546,,2018-06-13T15:49:52Z,
5770,LMAY004177011,,7670026,,,,,,,493,,AYFDLMF,,50303,,1,140301,,2018-06-11T19:46:42Z,
5963,LMAY004180325,,12159938,,,,,,,615,,AYFDLMF,,50303,,1,185553,,2018-06-13T18:04:10Z,
6020,LMMT004178730,,8411037,,,,,,,615,,MTFLTFX,,50303,,1,164756,,2018-06-12T19:52:44Z,
6231,LMAY003995348,,6608472,,,,,,,17,,AYFSLMF,,60501,,1,261479,,2018-01-25T14:01:13Z,
6265,LMMT004001565,,818327,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-01-31T17:29:09Z,
6323,LMAY003993927,,442127,,,,,,,17,,AYFCASH,,60501,,1,261479,,2018-01-24T12:34:37Z,
6357,LMAY003994870,,415085,,,,,,,14,,AYFSDIV,,50303,,1,131722,,2018-01-25T07:43:44Z,
6452,LMAY004051227,,12043219,,,,,,,687,,AYFMTFI,,50303,,1,171306,,2018-03-11T14:48:23Z,
6484,LMAY004057649,,11079344,,,,,,,615,,AYF7LMF,,50303,,1,164756,,2018-03-15T14:43:38Z,
6512,LMMR004045738,,100000000039762,,,,,,,570,,MRTLNHS,,60501,,1,11139359,,2018-03-07T10:40:52Z,
6517,LMPA004054464,,14595112,,,,,,,35,,PAPMPLS,,50303,,1,320218,,2018-03-13T18:51:25Z,
6522,LMMT004058968,,11079829,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-15T20:51:15Z,
6564,LMMT004063980,,4328610,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-19T17:17:55Z,
6745,LMPR004033694,,5271667,,,,,,,255,,PRNSCHN,,50303,,1,338863,,2018-02-23T13:57:57Z,
6798,LMMT004058302,,8428038,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-03-15T17:22:49Z,
6835,LMPR004033697,,5271667,,,,,,,255,,PRNSCHN,,50303,,1,338863,,2018-02-23T13:58:34Z,
6845,LMMT003999811,,4040425,,,,,,,262,ลูกค้าสาขา,MTFLTFX,,50303,,1,191940,,2018-01-30T16:35:15Z,
7028,LMPR004063070,,1107496,,,,,,,687,,PRNSCHN,,50303,,1,311894,,2018-03-19T12:38:24Z,
7040,LMPR004045460,,17173161,,,,,,,615,,PRNSCHN,,50303,,1,11070588,,2018-03-06T19:48:19Z,
7072,LMAY004114280,,5570895,,,,,,,361,,AYFDLMF,,50303,,1,11094208,,2018-04-24T16:56:14Z,
7156,LMMT004113688,,6424232,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-04-24T12:04:24Z,
7165,LMMT004113690,,6875234,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-04-24T12:06:37Z,
7192,LMAY004114336,,8295206,,,,,,,361,,AYFDLMF,,50303,,1,11094208,,2018-04-24T17:12:42Z,
7204,LMMT004113710,,5138818,,,,,,,34,,MTFLTFX,,50303,,1,166546,,2018-04-24T12:17:01Z,
7246,LMAY004034209,,427440,,,,,,,301,,AYFCASH,,50303,,1,223719,,2018-02-23T17:18:19Z,
7378,LMMT004034862,,11815428,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-02-24T18:04:48Z,
7421,LMMT004045736,,16505406,,,,,,,474,,MTFOTFD,,50303,,1,315713,,2018-03-07T10:40:21Z,
7480,LMPR004057950,,5976322,,,,,,,361,,PRNSCHN,,50303,,1,335661,,2018-03-15T16:24:19Z,
7516,LMMT004061841,,9437720,,,,,,,493,,MTFLTFX,,50303,,1,140301,,2018-03-17T16:57:05Z,
7517,LMAY004061857,,7109528,,,,,,,493,,AYFSDIV,,50303,,1,140301,,2018-03-17T17:09:06Z,
7528,LMAY004046341,,17455886,,,,,,,361,,AYF7LMF,,50303,,1,11094208,,2018-03-07T15:56:09Z,
7529,LMAY004046936,,13917139,,,,,,,493,,AYFMTFI,,50303,,1,140301,,2018-03-07T18:22:00Z,
7542,LMAY004113994,,928019,,,,,,,447,,AYFANVX,,60501,,1,328229,,2018-04-24T15:05:28Z,
7569,LMMT004058624,,9073001,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-15T18:05:58Z,
7597,LMAY004119711,,3746613,,,,,,,687,,AYFSLMF,,50303,,1,171306,,2018-04-27T17:57:56Z,
7673,LMMT004058984,,19511588,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-15T21:09:09Z,
7779,LMAY004053938,,182318,,,,,,,599,,AYFDLMF,,60501,,1,262147,,2018-03-13T16:39:40Z,
7817,LMPA004116551,,19704690,,,,,,,143,,PAPMPLS,,50303,,1,91637,,2018-04-25T22:21:02Z,
7837,LMMG004045724,,100000000039761,,,,,,,570,,MGLCASH,,60501,,1,11139359,,2018-03-07T10:36:31Z,
7978,LMMT004070842,,10810816,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T17:01:14Z,
7980,LMMT004070950,,11421255,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T17:19:02Z,
8054,LMMT004071247,,12240768,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T19:40:30Z,
8127,LMAY004158103,,5620784,,,,,,,493,,AYF7LMF,,50303,,1,140301,,2018-05-25T21:18:30Z,
8169,LMAY004158091,,6663910,,,,,,,493,,AYFDLMF,,50303,,1,140301,,2018-05-25T21:10:07Z,
8217,LMMG004045734,,100000000039762,,,,,,,570,,MGLCASH,,60501,,1,11139359,,2018-03-07T10:40:03Z,
8284,LMAY004049029,,12937459,,,,,,,143,,AYFPLUS,,50303,,1,296756,,2018-03-09T09:10:04Z,
8303,LMMT004053944,,588507,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-13T16:40:45Z,
8391,LMMT004061106,,3643455,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-16T18:46:50Z,
8393,LMMT004157963,,10485172,,,,,,,615,,MTFLTFX,,50303,,1,164756,,2018-05-25T18:29:02Z,
8394,LMMT004158344,,3484071,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-05-26T17:01:50Z,
8410,LMMT004160254,,9474326,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-05-29T15:53:59Z,
8424,LMMT004070947,,11231282,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T17:17:12Z,
8433,LMMT004156644,,9029150,,,,,,,474,,MTFOTFD,,50303,,1,356626,,2018-05-24T18:43:30Z,
8454,LMMT004071283,,12952613,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T20:15:22Z,
8476,LMAY004061837,,9902739,,,,,,,493,,AYFSDIV,,50303,,1,140301,,2018-03-17T16:52:00Z,
8478,LMMT004061874,,14458607,,,,,,,493,,MTFLTFX,,50303,,1,140301,,2018-03-17T17:28:45Z,
8483,LMMT004156873,,4530846,,,,,,,474,,MTFOTFD,,50303,,1,11094190,,2018-05-24T20:11:36Z,
8497,LMAY004084275,,7776916,,,,,,,361,,AYF7LMF,,50303,,1,11094208,,2018-04-05T08:54:04Z,
8525,LMMT004070935,,11229828,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T17:14:27Z,
8538,LMAY004056910,,11096719,,,,,,,361,,AYF7LMF,,50303,,1,11094208,,2018-03-15T10:44:34Z,
8558,LMAY004070557,,10377460,,,,,,,17,,AYFCASH,,60501,,1,261479,,2018-03-23T14:41:27Z,
8600,LMAY004085005,,8375701,,,,,,,17,,AYFDRMF,,60501,,1,261479,,2018-04-05T14:49:04Z,
8667,LMMT004047453,,872650,,,,,,,262,,MTFLTFX,,50303,,1,280248,,2018-03-08T10:40:55Z,
8871,LMMT004156879,,12110967,,,,,,,474,,MTFOTFD,,50303,,1,11094190,,2018-05-24T20:17:10Z,
8876,LMAY004199506,,15226700,,,,,,,687,,AYFDLMF,,50303,,1,11037777,,2018-06-26T17:16:40Z,
8950,LMMT004156726,,12040830,,,,,,,474,,MTFOTFD,,50303,,1,356626,,2018-05-24T19:05:00Z,
8966,LMAY004049018,,8496329,,,,,,,143,,AYFPLUS,,50303,,1,296756,,2018-03-09T09:08:46Z,
8972,LMMT004150142,,704853,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-05-20T16:15:17Z,
8988,LMMT004054161,,8380549,,,,,,,474,,MTFOTFD,,50303,,1,315713,,2018-03-13T17:25:20Z,
