,LEAD_REFERENCE_NUMBER,CAMPAIGN_CODE,CIF,MARKETING_MESSAGE_LINE1,MARKETING_MESSAGE_LINE2,MARKETING_MESSAGE_LINE3,MARKETING_MESSAGE_LINE4,MARKETING_MESSAGE_LINE5,MARKETING_MESSAGE_LINE6,BRANCH_CODE,PERSONALIZED_MESSAGE,PRODUCT_OFFER,PROVINCE_CODE,REGION,CAMPAIGN_TYPE,LEAD_STATUS_CODE,OWNER_EMPLOYEE_ID,REFER_NAME,RESPONSE_DATE_TIME,RESPONSE_CODE
10873,LMMT004071293,,15119577,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T20:24:04Z,
10874,LMMT004071298,,16133691,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T20:29:08Z,
10875,LMMT004071300,,16413642,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T20:29:46Z,
10876,LMMT004071301,,16430049,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T20:30:39Z,
10899,LMMT004071238,,12114852,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T19:38:04Z,
10900,LMMT004071245,,12240666,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T19:39:57Z,
10909,LMMT004160257,,10810816,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-05-29T15:56:03Z,
10911,LMMT004160259,,11230900,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-05-29T15:58:31Z,
10932,LMMT004071250,,12378389,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T19:41:32Z,
10933,LMMT004071253,,12637738,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T19:42:15Z,
10951,LMMT004070370,,9957635,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T12:46:15Z,
11003,LMKC004042305,,100000000039685,,,,,,,599,,KCCVSPT,,60501,,1,266213,,2018-03-02T20:51:55Z,
11005,LMMT004071241,,12202503,,,,,,,599,,MTFLTFX,,60501,,1,262147,,2018-03-23T19:38:47Z,
11018,LMAY004158105,,11202965,,,,,,,493,,AYFDLMF,,50303,,1,140301,,2018-05-25T21:20:52Z,
11037,LMAY004160142,,10247969,,,,,,,493,,AYFDLMF,,50303,,1,140301,,2018-05-28T20:46:28Z,
11053,LMAY004185991,,6664823,,,,,,,493,,AYFELMF,,50303,,1,140301,,2018-06-18T09:35:44Z,
